epoch,lr,train_loss,train_cls,train_reg,train_mean_dist,val_mean_dist,val_median_dist,val_success_1A,val_success_2A,val_success_5A
57,0.001,5.697155,5.275963,0.210596,0.9656,0.829,0.6266,0.7196,0.9346,1.0
58,0.000999997522701653,5.646164,5.229933,0.208116,0.9605,0.8434,0.6623,0.6916,0.9252,1.0
59,0.0009999900908311602,5.666748,5.252957,0.206895,0.954,0.7879,0.6082,0.7243,0.9486,1.0
60,0.0009999777044621652,5.555345,5.152828,0.201258,0.9403,0.8076,0.6435,0.7243,0.9486,1.0
61,0.0009999603637174071,5.506051,5.108455,0.198798,0.9418,0.7899,0.5882,0.7523,0.9299,1.0
62,0.0009999380687687187,5.519717,5.130728,0.194494,0.9233,0.8153,0.6345,0.7056,0.9486,1.0
63,0.0009999108198370248,5.500618,5.106221,0.197199,0.927,0.772,0.6046,0.743,0.9393,1.0
64,0.0009998786171923407,5.476239,5.092619,0.19181,0.9197,0.8191,0.6378,0.7336,0.9299,1.0
65,0.000999841461153768,5.454549,5.074418,0.190066,0.9058,0.8194,0.6259,0.6916,0.9346,1.0
66,0.0009997993520894936,5.424615,5.041076,0.191769,0.915,0.7702,0.5991,0.7477,0.9439,1.0
67,0.0009997522904167844,5.41924,5.045917,0.186662,0.8991,0.7604,0.6167,0.757,0.9439,1.0
68,0.0009997002766019831,5.405973,5.032318,0.186827,0.8986,0.8105,0.6547,0.7523,0.9533,1.0
69,0.0009996433111605053,5.406011,5.032203,0.186904,0.8935,0.7969,0.64,0.7243,0.9533,1.0
70,0.000999581394656832,5.376832,5.016415,0.180208,0.8878,0.772,0.5775,0.7243,0.9486,1.0
71,0.0009995145277045061,5.40239,5.038374,0.182008,0.8907,0.7488,0.6039,0.7757,0.9533,1.0
72,0.0009994427109661253,5.3627,4.99904,0.18183,0.89,0.7678,0.6026,0.7383,0.9579,1.0
73,0.0009993659451533353,5.366277,5.010426,0.177925,0.8772,0.7397,0.5507,0.757,0.9533,1.0
74,0.0009992842310268233,5.33431,4.966067,0.184122,0.8929,0.7799,0.5874,0.743,0.9393,1.0
75,0.0009991975693963108,5.341509,4.979612,0.180948,0.8839,0.7458,0.5622,0.757,0.9533,1.0
76,0.000999105961120544,5.319093,4.956634,0.181229,0.8823,0.7622,0.5693,0.729,0.9579,1.0
77,0.0009990094071072877,5.321029,4.962888,0.179071,0.873,0.7632,0.5884,0.729,0.9579,1.0
78,0.000998907908313314,5.326662,4.958927,0.183868,0.8778,0.7537,0.5716,0.7897,0.9533,1.0
79,0.000998801465744394,5.299314,4.938149,0.180583,0.8757,0.7774,0.6287,0.7196,0.9533,1.0
80,0.0009986900804552878,5.301377,4.954309,0.173534,0.8622,0.7582,0.5764,0.715,0.9533,1.0
81,0.0009985737535497337,5.30947,4.949371,0.18005,0.8742,0.7207,0.5627,0.7757,0.9579,1.0
82,0.0009984524861804376,5.295451,4.933304,0.181073,0.8759,0.7627,0.5594,0.7523,0.9533,1.0
83,0.0009983262795490613,5.29141,4.940082,0.175664,0.866,0.7498,0.5921,0.7477,0.9533,1.0
84,0.0009981951349062107,5.30864,4.952393,0.178123,0.8709,0.732,0.5607,0.7523,0.9673,1.0
85,0.0009980590535514234,5.263457,4.910907,0.176275,0.8725,0.8036,0.6598,0.7103,0.9393,1.0
86,0.0009979180368331559,5.303609,4.951716,0.175947,0.8705,0.7957,0.6139,0.729,0.9439,1.0
87,0.00099777208614877,5.287528,4.939277,0.174125,0.8652,0.7299,0.5372,0.7804,0.9579,1.0
88,0.0009976212029445194,5.280642,4.939341,0.17065,0.8557,0.7719,0.5975,0.7383,0.9439,1.0
89,0.000997465388715535,5.258221,4.915535,0.171343,0.8588,0.7074,0.546,0.7664,0.9626,1.0
90,0.00099730464500581,5.294753,4.942901,0.175926,0.8698,0.7648,0.5809,0.7477,0.9533,1.0
91,0.0009971389734081848,5.284103,4.935763,0.17417,0.8562,0.7752,0.5932,0.743,0.9626,1.0
92,0.0009969683755643318,5.284151,4.934885,0.174633,0.8602,0.7661,0.6002,0.7336,0.9486,1.0
93,0.0009967928531647372,5.282955,4.929849,0.176553,0.8611,0.759,0.6086,0.7383,0.9486,1.0
94,0.0009966124079486872,5.234539,4.888691,0.172924,0.8603,0.7699,0.5798,0.7617,0.9486,1.0
95,0.000996427041704248,5.281932,4.92892,0.176506,0.8674,0.7508,0.5535,0.7477,0.9533,1.0
96,0.0009962367562682496,5.27011,4.913478,0.178316,0.867,0.7614,0.6143,0.7477,0.9486,1.0
97,0.000996041553526267,5.245434,4.893024,0.176205,0.8683,0.732,0.537,0.771,0.9533,1.0
98,0.0009958414354126022,5.194797,4.850432,0.172183,0.8573,0.7656,0.5614,0.7383,0.9533,1.0
99,0.000995636403910264,5.237561,4.893175,0.172193,0.8532,0.7464,0.6214,0.757,0.9439,1.0
100,0.0009954264610509496,5.266979,4.928275,0.169352,0.8533,0.7489,0.5535,0.7523,0.9439,1.0
101,0.0009952116089150232,5.236506,4.89652,0.169993,0.8496,0.7927,0.6601,0.7336,0.9486,1.0
102,0.000994991849631496,5.234317,4.897829,0.168244,0.8543,0.7548,0.5879,0.7336,0.9533,1.0
103,0.0009947671853780054,5.25037,4.901566,0.174402,0.8559,0.7571,0.5649,0.7383,0.9486,1.0
104,0.000994537618380793,5.258847,4.910611,0.174118,0.8685,0.7379,0.5938,0.7617,0.9626,1.0
105,0.0009943031509146824,5.200143,4.848227,0.175958,0.8692,0.7692,0.59,0.7336,0.9439,1.0
106,0.0009940637853030573,5.242307,4.891949,0.175179,0.8571,0.7554,0.6223,0.7617,0.9579,1.0
107,0.0009938195239178375,5.270089,4.924685,0.172702,0.8599,0.7366,0.6166,0.7477,0.9673,1.0
108,0.0009935703691794564,5.222478,4.876754,0.172862,0.857,0.7438,0.5801,0.7617,0.9439,1.0
109,0.0009933163235568369,5.253446,4.906966,0.17324,0.8549,0.8041,0.5901,0.7383,0.9393,1.0
110,0.0009930573895673657,5.209669,4.868862,0.170403,0.8522,0.7815,0.6147,0.7477,0.9533,1.0
111,0.0009927935697768698,5.204136,4.860047,0.172044,0.8542,0.7643,0.5732,0.7523,0.9533,1.0
112,0.0009925248667995907,5.207247,4.864165,0.171541,0.8467,0.7755,0.5898,0.7243,0.9533,1.0
113,0.0009922512832981584,5.199655,4.849532,0.175061,0.8577,0.7365,0.5779,0.757,0.9579,1.0
114,0.0009919728219835644,5.247993,4.901566,0.173213,0.8564,0.7575,0.6085,0.757,0.9626,1.0
115,0.0009916894856151356,5.187866,4.84438,0.171743,0.8561,0.7385,0.5515,0.7243,0.9626,1.0
116,0.0009914012770005072,5.18085,4.847342,0.166754,0.8449,0.7119,0.5369,0.7617,0.972,1.0
117,0.000991108198995594,5.200563,4.856225,0.172169,0.8518,0.7555,0.5855,0.729,0.9626,1.0
118,0.0009908102545045623,5.196093,4.845383,0.175355,0.867,0.7429,0.587,0.7617,0.9673,1.0
119,0.0009905074464798022,5.199991,4.860419,0.169786,0.853,0.734,0.5729,0.757,0.9486,1.0
120,0.0009901997779218968,5.170931,4.835596,0.167667,0.8416,0.7643,0.6094,0.7477,0.9533,1.0
121,0.0009898872518795932,5.217726,4.881114,0.168306,0.848,0.7355,0.5552,0.7523,0.9673,1.0
122,0.0009895698714497724,5.166964,4.825421,0.170772,0.849,0.7315,0.5542,0.7383,0.9813,1.0
123,0.0009892476397774185,5.214095,4.867308,0.173393,0.8486,0.7027,0.549,0.7664,0.9813,1.0
124,0.0005,4.986573,4.678359,0.154107,0.8052,0.7035,0.5211,0.7617,0.9579,1.0
125,0.001,5.060722,4.739975,0.160374,0.8294,0.7399,0.542,0.7196,0.9439,1.0
126,0.000999997522701653,5.180573,4.833279,0.173647,0.8585,0.7597,0.5639,0.7336,0.9439,1.0
127,0.0009999900908311602,5.155466,4.820696,0.167385,0.8503,0.7439,0.5849,0.771,0.9579,1.0
128,0.0009999777044621652,5.195591,4.858327,0.168632,0.8481,0.7085,0.5314,0.7757,0.9486,1.0
129,0.0009999603637174071,5.13972,4.804062,0.167829,0.8487,0.7484,0.5715,0.7757,0.9486,1.0
130,0.0009999380687687187,5.186711,4.85067,0.16802,0.8454,0.7388,0.5873,0.7617,0.9673,1.0
131,0.0009999108198370248,5.17792,4.84198,0.16797,0.8469,0.7689,0.5874,0.7336,0.9439,1.0
132,0.0009998786171923407,5.156744,4.825664,0.16554,0.8413,0.7357,0.5764,0.757,0.9439,1.0
133,0.000999841461153768,5.15028,4.814265,0.168007,0.843,0.7308,0.5418,0.7664,0.9439,1.0
134,0.0009997993520894936,5.173415,4.832179,0.170618,0.8481,0.7248,0.5587,0.771,0.9626,1.0
135,0.0009997522904167844,5.190616,4.860447,0.165084,0.8392,0.7498,0.5777,0.757,0.9393,1.0
136,0.0009997002766019831,5.183731,4.844296,0.169718,0.8486,0.7626,0.5787,0.743,0.9486,1.0
137,0.0009996433111605053,5.161852,4.822108,0.169872,0.8487,0.7519,0.5942,0.7617,0.9626,1.0
138,0.000999581394656832,5.16481,4.830148,0.167331,0.8398,0.7245,0.5387,0.7804,0.9486,1.0
139,0.0009995145277045061,5.127734,4.795322,0.166206,0.8414,0.7439,0.588,0.757,0.9533,1.0
140,0.0009994427109661253,5.143733,4.814094,0.16482,0.8334,0.7587,0.583,0.7664,0.9486,1.0
141,0.0009993659451533353,5.140654,4.81327,0.163692,0.8323,0.7364,0.5753,0.757,0.9626,1.0
142,0.0009992842310268233,5.171579,4.843056,0.164261,0.8435,0.7526,0.5859,0.743,0.9626,1.0
143,0.0009991975693963108,5.154717,4.813691,0.170513,0.8487,0.7187,0.5667,0.7664,0.9626,1.0
144,0.000999105961120544,5.135813,4.802362,0.166725,0.8481,0.7767,0.5708,0.7477,0.9486,1.0
145,0.0009990094071072877,5.147584,4.817246,0.165169,0.8373,0.7023,0.5687,0.7944,0.9673,1.0
